Date (Local),Locations,Prov.,Issued At (UTC),Issued Link,Ended At (UTC)
7-1-2026,"- Arnprior
- Calabogie
- Renfrew",ON,0:50,https://www.facebook.com/share/p/19AqWCf8am/,1:13
7-1-2026,"- Eastern Lanark County
- Perth
- Smiths Falls",ON,0:56,https://www.facebook.com/share/p/18tctwNtJY/,1:50
7-1-2026,"- Mont-Tremblant Park area
- Saint-Donat",QC,22:28,https://www.facebook.com/share/p/195pPZi4hi/,22:37
7-1-2026,"- Charleston Lake
- Gananoque
- Mallorytown
- Westport",ON,23:42,https://www.facebook.com/share/p/1LhrRfcZjg/,0:01
2026-07-02,"- Long Sault
- Morrisburg",ON,19:57,https://www.facebook.com/share/p/1E5tZDU7VS/,20:20
2026-07-02,"- Newington
- Winchester",ON,19:59,https://www.facebook.com/share/p/1E659V7r62/,20:08
2026-07-02,- Prescott To Cornwall ,ON,20:00,https://www.facebook.com/share/p/1LC6Qfsga2/,20:25
2026-07-02,- R.m. Of Pleasant Valley Including Mcgee And Fiske,SK,22:56,https://www.facebook.com/share/p/18EyPkfzf3/,23:31
2026-07-02,"- R.m. Of Eye Hill Including Macklin Denzil And Evesham
",SK,23:37,https://www.facebook.com/share/p/1F3mZ4XY5a/,1:04
,- R.m. Of Grass Lake Including Salvador And Reward,,,,1:36
2026-07-03,"- R.m. Of Fertile Valley Including Conquest Macrorie And Bounty
- R.m. Of Rudy Including Outlook And Glenside",SK,21:42,https://www.facebook.com/share/p/196rU5ARsW/,22:05
2026-07-03,- R.m. Of Turtle River Including Edam And Vawn,SK,22:05,https://www.facebook.com/share/p/1BfJ5ooVBo/,23:01
2026-07-03,"- R.m. Of Rodgers Including Coderre And Courval
- R.m. Of Sutton Including Mazenod Palmer And Vantage",SK,22:08,https://www.facebook.com/share/p/1KaWbrQrSv/,22:31
2026-07-03,- R.m. Of Lake Johnson Including Mossbank And Ardill,SK,22:09,https://www.facebook.com/share/p/17znM3y5uf/,22:31
,"- R.m. Of Hillsborough Including Crestwynd And Old Wives Lake
",,,,22:50
2026-07-03,- R.m. Of Parkdale Including Glaslyn And Fairholme,SK,22:13,https://www.facebook.com/share/p/14qp9m7kJ1L/,23:14
,- R.m. Of Meota Including Meota And The Battlefords Prov. Park,,,,23:21
7-3-2026,- R.m. Of Mervin Including Turtleford Mervin And Spruce Lake,SK,22:26,https://www.facebook.com/share/p/1Bb9opadqw/,22:41
2026-07-03,- R.m. Of Rudy Including Outlook And Glenside,SK,22:26,https://www.facebook.com/share/p/1DKTiKzij7/,22:52
2026-07-03,"- R.m. Of Baildon Including Briercrest
",SK,22:34,https://www.facebook.com/share/p/19HQmpQaho/,22:50
2026-07-03,- R.m. Of Perdue Including Perdue And Kinley,SK,22:50,https://www.facebook.com/share/p/1Cub2LcCWD/,23:25
2026-07-03,"- R.m. Of Key West Including Ogema And Kayville
",SK,23:03,https://www.facebook.com/share/p/1KkXEFkBop/,23:12
,- R.m. Of Norton Including Pangman And Khedive,,,,1:13
2026-07-03,"- Chatham-Kent
- Rondeau Park",ON,23:26,https://www.facebook.com/share/p/1LvdjFJTNz/,0:03
2026-07-03,"- R.m. Of Brokenshell Including Trossachs
",SK,23:39,https://www.facebook.com/share/p/1F5JzGK7PC/,1:38
2026-07-03,"- R.m. Of North Battleford Northwest Of The Battlefords
- R.m. Of Round Hill Including Rabbit Lake And Whitkow",SK,23:45,https://www.facebook.com/share/p/1M31XK1SY5/,0:12
,"- R.m. Of Meota Including Meota And The Battlefords Prov. Park
",,,,0:13
2026-07-04,- R.m. Of Meeting Lake,SK,0:30,https://www.facebook.com/share/p/17nyZagaoi/,0:59
2026-07-04,"- R.m. Of Laurier Including Radville
 R.m. Of The Gap Including Ceylon And Hardy
",SK,0:32,https://www.facebook.com/share/p/191tFShSRj/,1:38
2026-07-04,"- City Of Saskatoon
- R.m. Of Corman Park Southwest Of The Yellowhead Highway",SK,0:54,https://www.facebook.com/share/p/1DUNQ6bmL1/,1:22
,"- R.m. Of Corman Park Northeast Of The Yellowhead Highway Incl. Martensville Warman And Langham
",,,,1:32
2026-07-04,"- R.m. Of Aberdeen Including Aberdeen
",SK,1:25,https://www.facebook.com/share/p/1UQx4tE9mH/,1:32
2026-07-04,- R.m. Of Meeting Lake,SK,1:39,https://www.facebook.com/share/p/1DTR9Qak5G/,1:53
,- R.m. Of Leask Including Leask Mistawasis Res. And Parkside,,,,2:18
