Date, Locations, Prov, Issued At, Start CAP Link, Ended At, End CAP Link, Polygon Link
26/07/16,M.D. of Willow Creek near Granum and Peigan Timber Limit- M.D. of Willow Creek near Fort Macleod- Blood Res. 148 including Stand Off- Cardston Co. near Hill Spring and Glenwood- Cardston Co. near Magrath and Woolford Prov. Park- Cardston Co. near Del Bonita and Kimball- Cardston Co. near Mountain View and Beazer- Cardston Co. near Cardston and Carway- Co. of Lethbridge near Coalhurst Nobleford and Barons- Co. of Lethbridge near Picture Butte and Turin- Co. of Lethbridge near Coaldale- City of Lethbridge- M.D. of Taber near Vauxhall and Hays- M.D. of Taber near Taber and Barnwell- M.D. of Taber near Grassy Lake and Hwys 877 and 513- Co. of Warner near Raymond Stirling and New Dayton- Co. of Warner near Wrentham- Co. of Warner near Warner- Co. of Warner near Milk River and Coutts- Co. of Warner near Writing-On-Stone Prov. Park- Co. of Forty Mile near Skiff,AB,21:14,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/16/start-M.D.ofWillowCreek-211414.cap,23:20,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/16/end-M.D.ofWillowCreek-211414.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/16/M.D.ofWillowCreek-211414.geojson
26/07/19,R.M. of Meadow Lake including Waterhen Res.- R.M. of Beaver River including Pierceland and Goodsoil- Green Lake- R.M. of Loon Lake including Loon Lake and Makwa- R.M. of Big River including Big River and Chitek Lake,SK,00:47,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/19/start-R.M.ofMeadowLake-004737.cap,04:22,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/19/end-R.M.ofMeadowLake-004737.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/19/R.M.ofMeadowLake-004737.geojson
26/07/19,Lac La Biche Co. near Plamondon Hylo and Avenir- Lac La Biche Co. near Heart Lake- Lac La Biche Co. near Lac La Biche and Square Lake- Lac La Biche Co. near Lakeland Prov. Park and Rec. Area- Lac La Biche Co. near Fork Lake- M.D. of Bonnyville including Cold Lake Air Weapons Range- Smoky Lake Co. near Buffalo Lake and Kikino Smts- Smoky Lake Co. near Vilna Saddle Lake and Whitefish Lake- Co. of St. Paul near Ashmont St. Vincent and St. Lina- Co. of St. Paul near St. Paul and Lafond- Co. of St. Paul near Elk Point and St. Edouard- Co. of St. Paul near Lindbergh and Frog Lake- M.D. of Bonnyville near La Corey Wolf Lake and Truman- M.D. of Bonnyville near Glendon and Moose Lake- M.D. of Bonnyville near Bonnyville Ardmore and Kehewin Res.- M.D. of Bonnyville near Cold Lake and City of Cold Lake- M.D. of Bonnyville near Beaverdam- M.D. of Bonnyville near Fishing Lake Smt,AB,00:51,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/19/start-LacLaBicheCo.nea-005145.cap,04:33,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/19/end-LacLaBicheCo.nea-005145.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/19/LacLaBicheCo.nea-005145.geojson
26/07/24,Pikangikum - Poplar Hill - MacDowell,ON,17:42,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/24/start-Pikangikum-Poplar-174253.cap,01:46,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/24/end-Pikangikum-Poplar-174253.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/24/Pikangikum-Poplar-174253.geojson
26/07/24,Red Lake - Woodland Caribou Park- Kenora - Grassy Narrows - Whitedog,ON,17:42,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/24/start-RedLake-Woodland-174253.cap,03:48,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/24/end-RedLake-Woodland-174253.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/24/RedLake-Woodland-174253.geojson
26/07/24,Ear Falls - Perrault Falls - Western Lac Seul- Savant Lake - Sturgeon Lake- Sioux Lookout - Eastern Lac Seul- Dryden - Vermilion Bay- Ignace - English River- Armstrong - Auden - Wabakimi Park- Gull Bay - Black Sturgeon Lake- Upsala - Raith- Atikokan - Shebandowan - Quetico Park,ON,17:42,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/24/start-EarFalls-Perrault-174253.cap,04:27,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/24/end-EarFalls-Perrault-174253.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/24/EarFalls-Perrault-174253.geojson
26/07/24,Pickle Lake - Cat Lake,ON,17:42,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/24/start-PickleLake-CatLa-174253.cap,04:27,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/24/end-PickleLake-CatLa-174253.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/24/PickleLake-CatLa-174253.geojson
26/07/24,Sioux Narrows - Nestor Falls - Morson,ON,17:42,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/24/start-SiouxNarrows-Nest-174253.cap,05:05,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/24/end-SiouxNarrows-Nest-174253.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/24/SiouxNarrows-Nest-174253.geojson
26/07/24,Fort Frances - Emo - Rainy River- Seine River Village - Mine Centre,ON,17:42,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/24/start-FortFrances-Emo--174253.cap,06:02,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/24/end-FortFrances-Emo--174253.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/24/FortFrances-Emo--174253.geojson
26/07/24,Lake Nipigon,ON,17:43,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/24/start-LakeNipigon-174307.cap,04:28,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/24/end-LakeNipigon-174307.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/24/LakeNipigon-174307.geojson
